1;Москва;Город;Москва;Центральный;12 108 257;12 197 596;12 330 126;Прирост
2;Санкт-Петербург;Город;Санкт-Петербург;Северо-Западный;5 131 942;5 191 690;5 225 690;Прирост
3;Новосибирск;Город;Новосибирская область;Сибирский;1 547 910;1 567 087;1 584 138;Прирост
4;Екатеринбург;Город;Свердловская область;Уральский;1 412 346;1 428 042;1 444 439;Прирост
5;Нижний Новгород;Город;Нижегородская область;Приволжский;1 263 873;1 267 760;1 266 871;Убывание
6;Казань;Город;Республика Татарстан;Приволжский;1 190 850;1 205 651;1 216 965;Прирост
7;Челябинск;Город;Челябинская область;Уральский;1 169 432;1 183 387;1 192 036;Прирост
8;Омск;Город;Омская область;Сибирский;1 166 092;1 173 854;1 178 100;Прирост
9;Самара;Город;Самарская область;Приволжский;1 172 348;1 171 820;1 170 910;Убывание
10;Ростов-на-Дону;Город;Ростовская область;Южный;1 109 835;1 114 806;1 119 875;Прирост
11;Уфа;Город;Республика Башкортостан;Приволжский;1 096 702;1 105 667;1 110 976;Прирост
12;Красноярск;Город;Красноярский край;Сибирский;1 035 528;1 052 218;1 066 934;Прирост
13;Пермь;Город;Пермский край;Приволжский;1 026 477;1 036 469;1 041 876;Прирост
14;Воронеж;Город;Воронежская область;Центральный;1 014 610;1 023 570;1 032 895;Прирост
15;Волгоград;Город;Волгоградская область;Приволжский;1 018 790;1 017 985;1 017 451;Убывание
16;Краснодар;Город;Краснодарский край;Южный;805 680;829 677;853 848;Прирост
17;Саратов;Город;Саратовская область;Приволжский;840 785;842 097;843 460;Прирост
18;Тюмень;Город;Тюменская область;Уральский;679 861;697 037;720 575;Прирост
19;Тольятти;Город;Самарская область;Приволжский;718 127;719 646;712 392;Убывание
20;Ижевск;Город;Удмуртская Республика;Приволжский;637 309;642 024;643 496;Прирост
21;Барнаул;Город;Алтайский край;Сибирский;632 848;635 530;635 550;Прирост
22;Иркутск;Город;Иркутская область;Сибирский;612 973;620 099;623 424;Прирост
23;Ульяновск;Город;Ульяновская область;Приволжский;616 672;619 492;621 514;Прирост
24;Хабаровск;Город;Хабаровский край;Дальневосточный;601 043;607 216;610 611;Прирост
25;Владивосток;Город;Приморский край;Дальневосточный;603 244;604 602;606 653;Прирост
26;Ярославль;Город;Ярославская область;Центральный;602 400;603 961;606 703;Прирост
27;Махачкала;Город;Республика Дагестан;Северо-Кавказский;578 332;583 233;587 876;Прирост
28;Томск;Город;Томская область;Сибирский;557 179;564 910;569 428;Прирост
29;Оренбург;Город;Оренбургская область;Приволжский;560 046;561 279;562 569;Прирост
30;Кемерово;Город;Кемеровская область;Сибирский;544 006;549 159;553 076;Прирост
31;Новокузнецк;Город;Кемеровская область;Сибирский;550 213;550 127;551 253;Прирост
32;Рязань;Город;Рязанская область;Центральный;530 341;532 772;534 475;Прирост
33;Астрахань;Город;Астраханская область;Южный;530 863;532 699;531 719;Убывание
34;Набережные Челны;Город;Республика Татарстан;Приволжский;522 048;524 444;526 750;Прирост
35;Пенза;Город;Пензенская область;Приволжский;521 329;522 823;524 632;Прирост
36;Липецк;Город;Липецкая область;Центральный;509 719;510 152;510 020;Убывание
37;Киров;Город;Кировская область;Приволжский;487 138;493 336;496 986;Прирост
38;Тула;Город;Тульская область;Центральный;490 508;487 841;485 521;Убывание
39;Чебоксары;Город;Чувашская Республика;Приволжский;468 725;473 895;480 741;Прирост
40;Калининград;Город;Калининградская область;Северо-Западный;448 548;453 461;459 560;Прирост
41;Курск;Город;Курская область;Центральный;431 171;435 117;443 212;Прирост
42;Улан-Удэ;Город;Республика Бурятия;Сибирский;421 453;426 650;430 549;Прирост
43;Ставрополь;Город;Ставропольский край;Северо-Кавказский;419 816;425 853;429 571;Прирост
44;Севастополь;Город;Севастополь;Южный;393 304;398 973;416 263;Прирост
